,name,title_clean,revenues_clean,gross_profit,costs_clean
2840,Treat Williams,A Little Bit of Heaven,1296937.0,-11851531.5,12500000.0
3244,Treat Williams,In the Blood,51279.0,-9974360.5,10000000.0
2891,Karan Soni,Safety Not Guaranteed,4400000.0,1450000.0,750000.0
2847,John Amos,Madea's Witness Protection,66900000.0,13450000.0,20000000.0
67,Derek Jacobi,Gladiator,457600000.0,125800000.0,103000000.0
1572,Derek Jacobi,Underworld: Evolution,113400000.0,11700000.0,45000000.0
3409,Derek Jacobi,Cinderella,543500000.0,176750000.0,95000000.0
1504,Godfrey,Phat Girlz,7403491.0,701745.5,3000000.0
3108,Godfrey,The Mortal Instruments: City of Bones,90600000.0,-14700000.0,60000000.0
3622,Parker Mack,Ouija: Origin of Evil,81700000.0,31850000.0,9000000.0
707,Heather Langenkamp,Wes Craven's New Nightmare,19700000.0,1850000.0,8000000.0
1982,Sarah Brightman,Repo! The Genetic Opera,188126.0,-8405937.0,8500000.0
484,Valeria Golino,Frida,56300000.0,16150000.0,12000000.0
228,Ewen Bremner,Black Hawk Down,173000000.0,-5500000.0,92000000.0
849,Ewen Bremner,Alien vs. Predator,172500000.0,26250000.0,60000000.0
1893,Ewen Bremner,Fool's Gold,111231041.0,-14384479.5,70000000.0
2319,Ewen Bremner,Death at a Funeral,46800000.0,14400000.0,9000000.0
607,Clayne Crawford,Swimfan,34411240.0,7205620.0,10000000.0
2651,Clayne Crawford,The Perfect Host,48764.0,-475618.0,500000.0
1494,Billie Whitelaw,The Omen,60900000.0,27650000.0,2800000.0
3359,Tom McGrath,Penguins of Madagascar,373000000.0,54500000.0,132000000.0
3531,Sadie Robertson,God's Not Dead 2,23500000.0,6750000.0,5000000.0
3624,Sadie Robertson,I'm Not Ashamed,2100000.0,-450000.0,1500000.0
1535,David Alford,The Second Chance,463542.0,-968229.0,1200000.0
1055,James Purefoy,Vanity Fair,19463185.0,-13268407.5,23000000.0
3457,Omar Sy,Jurassic World,1670000000.0,685000000.0,150000000.0
3626,Omar Sy,Inferno,220000000.0,35000000.0,75000000.0
210,Monica Potter,Along Came a Spider,105200000.0,-7400000.0,60000000.0
280,Monica Potter,Head over Heels,13127022.0,-7436489.0,14000000.0
1012,Monica Potter,Saw,103900000.0,50750000.0,1200000.0
2167,Monica Potter,The Last House on the Left,45200000.0,7600000.0,15000000.0
1080,Melissa George,The Amityville Horror,108000000.0,35000000.0,19000000.0
1567,Melissa George,Turistas,14700000.0,-2650000.0,10000000.0
1598,Melissa George,30 Days of Night,75500000.0,7750000.0,30000000.0
183,Loretta Devine,Urban Legends: Final Cut,38600000.0,5300000.0,14000000.0
